,summary_method,summary_percentage,ranking,ranking_how,ranking_perc_threshold,confidence,relation,meteor_pr,meteor_re,meteor_f1,rouge-2_pr,rouge-2_re,rouge-2_f1
213,chat-gpt,15,page\_rank,single,30.0,0.5,rebel\_ft,24.5,23.6,23.2,12.3,7.8,8.9
706,chat-gpt,15,page\_rank,single,30.0,0.5,rebel\_hf,25.2,21.9,22.7,14.9,5.1,7.2
186,chat-gpt,15,page\_rank,single,30.0,0.7,rebel\_hf,25.2,21.9,22.7,15.3,5.2,7.3
740,chat-gpt,15,page\_rank,single,30.0,0.7,rebel\_ft,24.5,23.6,23.2,12.3,7.8,8.9
87,chat-gpt,15,page\_rank,single,50.0,0.5,rebel\_hf,30.4,20.3,23.6,18.5,3.4,5.5
736,chat-gpt,15,page\_rank,single,50.0,0.5,rebel\_ft,28.3,21.3,23.7,16.8,5.8,8.2
535,chat-gpt,15,page\_rank,single,50.0,0.7,rebel\_ft,28.3,21.3,23.7,16.8,5.8,8.2
756,chat-gpt,15,page\_rank,single,50.0,0.7,rebel\_hf,30.4,20.3,23.6,18.6,3.4,5.5
241,chat-gpt,15,page\_rank,single,70.0,0.5,rebel\_hf,32.5,19.9,24.0,21.0,3.0,5.0
577,chat-gpt,15,page\_rank,single,70.0,0.5,rebel\_ft,31.2,21.3,24.8,19.4,5.0,7.7
480,chat-gpt,15,page\_rank,single,70.0,0.7,rebel\_hf,32.5,19.9,24.0,20.9,3.0,5.0
607,chat-gpt,15,page\_rank,single,70.0,0.7,rebel\_ft,31.2,21.3,24.8,19.4,5.0,7.7
158,chat-gpt,15,tfidf,all,15.0,0.5,rebel\_ft,19.4,22.5,19.8,8.2,10.4,7.9
211,chat-gpt,15,tfidf,all,15.0,0.5,rebel\_hf,25.0,22.1,22.6,12.3,6.4,7.8
81,chat-gpt,15,tfidf,all,15.0,0.7,rebel\_ft,19.4,22.5,20.835322195704055,8.1,10.6,7.9
695,chat-gpt,15,tfidf,all,15.0,0.7,rebel\_hf,25.0,22.1,22.6,12.5,6.5,7.9
439,chat-gpt,15,tfidf,all,30.0,0.5,rebel\_ft,26.3,24.0,24.6,14.7,8.8,10.0
552,chat-gpt,15,tfidf,all,30.0,0.5,rebel\_hf,30.6,22.2,25.0,18.8,5.1,7.6
370,chat-gpt,15,tfidf,all,30.0,0.7,rebel\_ft,26.3,24.0,24.6,14.2,8.6,9.7
593,chat-gpt,15,tfidf,all,30.0,0.7,rebel\_hf,30.6,22.2,25.0,18.5,5.0,7.5
537,chat-gpt,15,tfidf,all,50.0,0.5,rebel\_hf,33.0,21.5,25.4,22.1,3.6,6.0
579,chat-gpt,15,tfidf,all,50.0,0.5,rebel\_ft,30.0,22.7,25.4,19.0,6.4,9.1
546,chat-gpt,15,tfidf,all,50.0,0.7,rebel\_ft,30.0,22.7,25.4,18.7,6.3,8.9
761,chat-gpt,15,tfidf,all,50.0,0.7,rebel\_hf,33.0,21.5,25.4,21.6,3.5,5.8
263,chat-gpt,15,tfidf,all,70.0,0.5,rebel\_hf,34.9,21.0,25.6,24.0,2.9,5.0
353,chat-gpt,15,tfidf,all,70.0,0.5,rebel\_ft,32.8,22.6,26.2,21.6,5.1,7.8
36,chat-gpt,15,tfidf,all,70.0,0.7,rebel\_ft,32.8,22.6,26.2,21.0,5.0,7.7
348,chat-gpt,15,tfidf,all,70.0,0.7,rebel\_hf,34.9,21.0,25.6,23.7,2.8,4.9
175,chat-gpt,15,tfidf,single,15.0,0.5,rebel\_hf,17.4,20.8,18.2,7.3,6.7,6.5
747,chat-gpt,15,tfidf,single,15.0,0.5,rebel\_ft,14.2,18.8,15.5,4.7,8.7,5.3
217,chat-gpt,15,tfidf,single,15.0,0.7,rebel\_ft,14.2,18.8,15.5,4.6,8.6,5.3
367,chat-gpt,15,tfidf,single,15.0,0.7,rebel\_hf,17.4,20.8,18.2,7.1,6.5,6.3
631,chat-gpt,15,tfidf,single,30.0,0.5,rebel\_ft,24.3,22.8,22.8,11.5,8.8,8.9
648,chat-gpt,15,tfidf,single,30.0,0.5,rebel\_hf,27.6,22.1,23.7,15.4,5.7,7.8
57,chat-gpt,15,tfidf,single,30.0,0.7,rebel\_hf,27.6,22.1,23.7,15.3,5.6,7.6
246,chat-gpt,15,tfidf,single,30.0,0.7,rebel\_ft,24.3,22.8,22.8,11.4,8.8,8.8
482,chat-gpt,15,tfidf,single,50.0,0.5,rebel\_ft,30.1,23.7,25.9,17.9,6.4,8.8
614,chat-gpt,15,tfidf,single,50.0,0.5,rebel\_hf,33.1,22.4,26.0,21.7,4.0,6.4
549,chat-gpt,15,tfidf,single,50.0,0.7,rebel\_ft,30.1,23.7,25.9,18.2,6.5,8.9
651,chat-gpt,15,tfidf,single,50.0,0.7,rebel\_hf,33.1,22.4,26.0,21.7,3.9,6.4
47,chat-gpt,15,tfidf,single,70.0,0.5,rebel\_ft,32.0,23.0,26.2,20.0,5.5,8.1
679,chat-gpt,15,tfidf,single,70.0,0.5,rebel\_hf,34.3,21.5,25.7,23.4,3.2,5.5
282,chat-gpt,15,tfidf,single,70.0,0.7,rebel\_hf,34.3,21.5,25.7,23.1,3.2,5.4
473,chat-gpt,15,tfidf,single,70.0,0.7,rebel\_ft,32.0,23.0,26.2,20.3,5.5,8.1
37,chat-gpt,15,word2vec,all,15.0,0.5,rebel\_hf,27.7,25.6,25.7,14.6,7.8,9.5
205,chat-gpt,15,word2vec,all,15.0,0.5,rebel\_ft,24.5,26.7,24.7,11.2,10.1,9.8
341,chat-gpt,15,word2vec,all,15.0,0.7,rebel\_ft,21.6,26.1,22.9,10.2,9.8,9.2
613,chat-gpt,15,word2vec,all,15.0,0.7,rebel\_hf,25.9,24.9,24.3,12.9,6.8,8.3
295,chat-gpt,15,word2vec,all,30.0,0.5,rebel\_hf,31.1,23.9,26.2,18.7,5.2,7.7
677,chat-gpt,15,word2vec,all,30.0,0.5,rebel\_ft,27.9,25.4,25.9,15.8,7.8,9.7
444,chat-gpt,15,word2vec,all,30.0,0.7,rebel\_hf,30.5,24.5,26.5,18.2,5.0,7.5
729,chat-gpt,15,word2vec,all,30.0,0.7,rebel\_ft,26.6,26.3,25.8,15.4,7.9,9.8
120,chat-gpt,15,word2vec,all,50.0,0.5,rebel\_hf,33.5,22.7,26.4,22.9,3.9,6.4
608,chat-gpt,15,word2vec,all,50.0,0.5,rebel\_ft,30.7,24.1,26.5,20.3,6.4,9.2
98,chat-gpt,15,word2vec,all,50.0,0.7,rebel\_ft,30.3,24.6,26.6,19.1,6.0,8.7
529,chat-gpt,15,word2vec,all,50.0,0.7,rebel\_hf,33.2,22.5,26.1,21.3,3.6,6.0
9,chat-gpt,15,word2vec,all,70.0,0.5,rebel\_ft,32.8,23.1,26.6,21.9,5.1,7.9
504,chat-gpt,15,word2vec,all,70.0,0.5,rebel\_hf,34.6,21.4,25.8,23.9,2.9,5.1
236,chat-gpt,15,word2vec,all,70.0,0.7,rebel\_ft,32.6,23.2,26.7,21.6,4.9,7.7
387,chat-gpt,15,word2vec,all,70.0,0.7,rebel\_hf,34.5,21.4,25.8,23.3,2.8,4.9
104,chat-gpt,15,word2vec,single,15.0,0.5,rebel\_ft,17.3,22.5,18.1,5.5,9.2,6.3
483,chat-gpt,15,word2vec,single,15.0,0.5,rebel\_hf,21.0,22.9,20.7,8.1,7.5,7.4
199,chat-gpt,15,word2vec,single,15.0,0.7,rebel\_ft,17.3,22.5,18.1,5.5,9.2,6.3
491,chat-gpt,15,word2vec,single,15.0,0.7,rebel\_hf,21.0,22.9,20.7,8.1,7.5,7.4
276,chat-gpt,15,word2vec,single,30.0,0.5,rebel\_ft,24.5,24.1,23.4,11.2,8.0,8.3
554,chat-gpt,15,word2vec,single,30.0,0.5,rebel\_hf,28.2,22.7,24.3,14.8,5.3,7.3
109,chat-gpt,15,word2vec,single,30.0,0.7,rebel\_hf,28.2,22.7,24.3,14.8,5.3,7.3
737,chat-gpt,15,word2vec,single,30.0,0.7,rebel\_ft,24.5,24.1,23.4,11.2,8.0,8.3
30,chat-gpt,15,word2vec,single,50.0,0.5,rebel\_hf,31.7,21.5,24.9,20.0,3.7,6.1
320,chat-gpt,15,word2vec,single,50.0,0.5,rebel\_ft,29.8,22.9,25.3,18.4,6.5,9.0
463,chat-gpt,15,word2vec,single,50.0,0.7,rebel\_ft,29.8,22.9,25.3,18.4,6.5,9.0
560,chat-gpt,15,word2vec,single,50.0,0.7,rebel\_hf,31.7,21.5,24.9,20.0,3.7,6.1
69,chat-gpt,15,word2vec,single,70.0,0.5,rebel\_hf,32.9,20.7,24.7,22.1,3.1,5.3
388,chat-gpt,15,word2vec,single,70.0,0.5,rebel\_ft,30.8,22.0,25.1,20.1,5.4,8.1
99,chat-gpt,15,word2vec,single,70.0,0.7,rebel\_ft,30.8,22.0,25.1,20.1,5.4,8.1
657,chat-gpt,15,word2vec,single,70.0,0.7,rebel\_hf,32.9,20.7,24.7,22.1,3.1,5.3
311,chat-gpt,30,page\_rank,all,15.0,0.5,rebel\_ft,25.6,27.5,25.7,12.3,9.1,9.9
476,chat-gpt,30,page\_rank,all,15.0,0.5,rebel\_hf,27.4,26.8,26.4,15.8,6.5,8.8
206,chat-gpt,30,page\_rank,all,15.0,0.7,rebel\_ft,25.6,27.5,25.7,12.5,9.1,9.9
216,chat-gpt,30,page\_rank,all,15.0,0.7,rebel\_hf,27.4,26.8,26.4,15.6,6.5,8.7
338,chat-gpt,30,page\_rank,all,30.0,0.5,rebel\_ft,30.2,25.8,27.2,16.8,6.3,8.7
382,chat-gpt,30,page\_rank,all,30.0,0.5,rebel\_hf,32.1,24.4,27.0,19.9,4.2,6.7
404,chat-gpt,30,page\_rank,all,30.0,0.7,rebel\_hf,32.1,24.4,27.0,20.1,4.2,6.7
452,chat-gpt,30,page\_rank,all,30.0,0.7,rebel\_ft,30.2,25.8,27.2,17.1,6.5,8.9
376,chat-gpt,30,page\_rank,all,50.0,0.5,rebel\_hf,34.6,22.1,26.3,23.0,2.9,5.0
553,chat-gpt,30,page\_rank,all,50.0,0.5,rebel\_ft,34.3,24.3,27.9,21.0,4.8,7.6
125,chat-gpt,30,page\_rank,all,50.0,0.7,rebel\_ft,34.3,24.3,27.9,21.1,4.8,7.6
137,chat-gpt,30,page\_rank,all,50.0,0.7,rebel\_hf,34.6,22.1,26.3,22.6,2.8,4.9
315,chat-gpt,30,page\_rank,all,70.0,0.5,rebel\_ft,35.6,23.1,27.5,23.1,3.8,6.3
765,chat-gpt,30,page\_rank,all,70.0,0.5,rebel\_hf,35.7,21.1,26.0,24.8,2.2,4.0
49,chat-gpt,30,page\_rank,all,70.0,0.7,rebel\_hf,35.7,21.1,26.0,24.8,2.2,4.0
464,chat-gpt,30,page\_rank,all,70.0,0.7,rebel\_ft,35.6,23.1,27.5,23.4,3.8,6.4
342,chat-gpt,30,page\_rank,single,15.0,0.5,rebel\_hf,21.3,22.5,21.4,8.8,5.7,6.4
653,chat-gpt,30,page\_rank,single,15.0,0.5,rebel\_ft,19.0,22.6,20.0,6.5,6.7,6.0
302,chat-gpt,30,page\_rank,single,15.0,0.7,rebel\_ft,19.0,22.6,20.0,6.5,6.7,6.0
355,chat-gpt,30,page\_rank,single,15.0,0.7,rebel\_hf,21.3,22.5,21.4,8.6,5.6,6.4
611,chat-gpt,30,page\_rank,single,30.0,0.5,rebel\_hf,28.0,21.8,24.0,17.3,4.3,6.7
720,chat-gpt,30,page\_rank,single,30.0,0.5,rebel\_ft,28.7,23.7,25.3,15.3,7.2,9.2
303,chat-gpt,30,page\_rank,single,30.0,0.7,rebel\_hf,28.0,21.8,24.0,17.3,4.3,6.7
360,chat-gpt,30,page\_rank,single,30.0,0.7,rebel\_ft,28.7,23.7,25.3,15.3,7.2,9.2
22,chat-gpt,30,page\_rank,single,50.0,0.5,rebel\_ft,33.2,23.8,27.2,20.1,5.1,7.8
731,chat-gpt,30,page\_rank,single,50.0,0.5,rebel\_hf,32.6,21.6,25.5,22.8,3.0,5.2
0,chat-gpt,30,page\_rank,single,50.0,0.7,rebel\_ft,33.2,23.8,27.2,20.1,5.1,7.8
696,chat-gpt,30,page\_rank,single,50.0,0.7,rebel\_hf,32.6,21.6,25.5,22.8,3.0,5.2
235,chat-gpt,30,page\_rank,single,70.0,0.5,rebel\_ft,34.7,22.7,26.9,22.1,4.0,6.6
312,chat-gpt,30,page\_rank,single,70.0,0.5,rebel\_hf,35.1,20.7,25.4,24.3,2.4,4.3
112,chat-gpt,30,page\_rank,single,70.0,0.7,rebel\_hf,35.1,20.7,25.4,24.3,2.4,4.3
307,chat-gpt,30,page\_rank,single,70.0,0.7,rebel\_ft,34.7,22.7,26.9,22.1,4.0,6.6
1,chat-gpt,30,tfidf,all,15.0,0.5,rebel\_hf,27.0,21.6,23.0,13.7,5.1,7.0
436,chat-gpt,30,tfidf,all,15.0,0.5,rebel\_ft,23.0,23.1,21.8,9.8,8.4,8.2
300,chat-gpt,30,tfidf,all,15.0,0.7,rebel\_hf,27.0,21.6,23.0,13.7,5.1,7.0
372,chat-gpt,30,tfidf,all,15.0,0.7,rebel\_ft,23.0,23.1,21.8,9.7,8.2,8.1
275,chat-gpt,30,tfidf,all,30.0,0.5,rebel\_hf,33.0,21.6,25.4,20.3,3.8,6.2
644,chat-gpt,30,tfidf,all,30.0,0.5,rebel\_ft,30.5,23.8,26.1,17.2,6.6,9.1
359,chat-gpt,30,tfidf,all,30.0,0.7,rebel\_ft,30.5,23.8,26.1,17.3,6.6,9.2
391,chat-gpt,30,tfidf,all,30.0,0.7,rebel\_hf,33.0,21.6,25.4,20.5,3.9,6.3
11,chat-gpt,30,tfidf,all,50.0,0.5,rebel\_hf,35.1,21.1,25.8,23.3,2.7,4.8
153,chat-gpt,30,tfidf,all,50.0,0.5,rebel\_ft,33.3,22.8,26.6,20.3,4.7,7.3
222,chat-gpt,30,tfidf,all,50.0,0.7,rebel\_hf,35.1,21.1,25.8,23.6,2.8,4.8
525,chat-gpt,30,tfidf,all,50.0,0.7,rebel\_ft,33.3,22.8,26.6,20.4,4.7,7.3
210,chat-gpt,30,tfidf,all,70.0,0.5,rebel\_hf,36.2,20.6,25.7,25.3,2.2,3.9
253,chat-gpt,30,tfidf,all,70.0,0.5,rebel\_ft,34.7,22.6,26.9,22.5,3.9,6.4
14,chat-gpt,30,tfidf,all,70.0,0.7,rebel\_ft,34.7,22.6,26.9,22.4,3.8,6.3
726,chat-gpt,30,tfidf,all,70.0,0.7,rebel\_hf,36.2,20.6,25.7,24.8,2.1,3.9
200,chat-gpt,30,tfidf,single,15.0,0.5,rebel\_ft,20.0,22.4,20.5,7.3,9.1,7.6
284,chat-gpt,30,tfidf,single,15.0,0.5,rebel\_hf,22.5,20.8,21.1,8.8,5.9,6.7
673,chat-gpt,30,tfidf,single,15.0,0.7,rebel\_ft,20.0,22.4,20.5,7.3,8.9,7.5
716,chat-gpt,30,tfidf,single,15.0,0.7,rebel\_hf,22.5,20.8,21.1,9.1,6.2,6.9
257,chat-gpt,30,tfidf,single,30.0,0.5,rebel\_ft,28.2,23.3,25.0,15.3,6.9,8.9
652,chat-gpt,30,tfidf,single,30.0,0.5,rebel\_hf,30.6,21.6,24.7,19.1,4.4,6.9
106,chat-gpt,30,tfidf,single,30.0,0.7,rebel\_ft,28.2,23.3,25.0,15.3,7.0,9.0
719,chat-gpt,30,tfidf,single,30.0,0.7,rebel\_hf,30.6,21.6,24.7,18.7,4.4,6.8
383,chat-gpt,30,tfidf,single,50.0,0.5,rebel\_hf,34.1,21.2,25.6,22.9,2.9,5.1
428,chat-gpt,30,tfidf,single,50.0,0.5,rebel\_ft,32.7,22.4,26.0,20.0,4.9,7.5
485,chat-gpt,30,tfidf,single,50.0,0.7,rebel\_hf,34.1,21.2,25.6,23.3,3.0,5.1
634,chat-gpt,30,tfidf,single,50.0,0.7,rebel\_ft,32.7,22.4,26.0,20.3,4.9,7.6
244,chat-gpt,30,tfidf,single,70.0,0.5,rebel\_ft,34.8,22.6,26.8,21.8,4.1,6.6
398,chat-gpt,30,tfidf,single,70.0,0.5,rebel\_hf,35.6,20.6,25.5,24.6,2.4,4.3
141,chat-gpt,30,tfidf,single,70.0,0.7,rebel\_hf,35.6,20.6,25.5,24.6,2.4,4.3
722,chat-gpt,30,tfidf,single,70.0,0.7,rebel\_ft,34.8,22.6,26.8,22.4,4.1,6.8
62,chat-gpt,30,word2vec,all,15.0,0.5,rebel\_hf,28.7,26.7,26.8,15.4,6.0,8.2
102,chat-gpt,30,word2vec,all,15.0,0.5,rebel\_ft,25.8,27.8,25.7,11.6,8.5,9.1
195,chat-gpt,30,word2vec,all,15.0,0.7,rebel\_ft,25.7,28.7,26.2,12.4,9.3,9.8
759,chat-gpt,30,word2vec,all,15.0,0.7,rebel\_hf,28.0,26.5,26.5,16.2,6.5,8.8
89,chat-gpt,30,word2vec,all,30.0,0.5,rebel\_hf,32.0,24.4,27.0,19.7,4.0,6.3
134,chat-gpt,30,word2vec,all,30.0,0.5,rebel\_ft,30.0,26.7,27.6,16.1,6.5,8.7
506,chat-gpt,30,word2vec,all,30.0,0.7,rebel\_ft,29.9,27.5,27.5,16.6,6.9,8.9
526,chat-gpt,30,word2vec,all,30.0,0.7,rebel\_hf,32.2,24.8,27.2,20.2,4.0,6.4
215,chat-gpt,30,word2vec,all,50.0,0.5,rebel\_hf,34.7,22.5,26.7,23.2,2.8,4.9
642,chat-gpt,30,word2vec,all,50.0,0.5,rebel\_ft,33.6,24.4,27.8,21.1,4.9,7.6
26,chat-gpt,30,word2vec,all,50.0,0.7,rebel\_hf,34.8,22.6,26.7,23.2,2.8,4.9
185,chat-gpt,30,word2vec,all,50.0,0.7,rebel\_ft,33.7,24.7,28.0,21.0,4.7,7.5
269,chat-gpt,30,word2vec,all,70.0,0.5,rebel\_ft,35.4,23.3,27.7,23.0,3.8,6.3
362,chat-gpt,30,word2vec,all,70.0,0.5,rebel\_hf,36.2,21.2,26.1,25.2,2.2,4.0
596,chat-gpt,30,word2vec,all,70.0,0.7,rebel\_ft,35.6,23.3,27.7,23.2,3.8,6.4
733,chat-gpt,30,word2vec,all,70.0,0.7,rebel\_hf,36.0,21.2,26.1,24.7,2.2,4.0
437,chat-gpt,30,word2vec,single,15.0,0.5,rebel\_hf,21.3,20.3,20.2,8.4,5.1,6.0
663,chat-gpt,30,word2vec,single,15.0,0.5,rebel\_ft,18.4,22.0,19.3,6.6,7.8,6.5
523,chat-gpt,30,word2vec,single,15.0,0.7,rebel\_ft,18.4,22.0,19.3,6.6,7.8,6.5
724,chat-gpt,30,word2vec,single,15.0,0.7,rebel\_hf,21.3,20.3,20.2,8.4,5.1,6.0
85,chat-gpt,30,word2vec,single,30.0,0.5,rebel\_ft,26.8,22.7,23.6,12.9,6.0,7.4
131,chat-gpt,30,word2vec,single,30.0,0.5,rebel\_hf,28.5,20.7,23.1,17.0,4.0,6.2
584,chat-gpt,30,word2vec,single,30.0,0.7,rebel\_ft,26.8,22.7,23.6,12.9,6.0,7.4
656,chat-gpt,30,word2vec,single,30.0,0.7,rebel\_hf,28.5,20.7,23.1,17.0,4.0,6.2
71,chat-gpt,30,word2vec,single,50.0,0.5,rebel\_hf,32.9,20.2,24.3,21.9,2.8,4.9
514,chat-gpt,30,word2vec,single,50.0,0.5,rebel\_ft,31.5,21.8,25.3,17.3,4.3,6.6
561,chat-gpt,30,word2vec,single,50.0,0.7,rebel\_ft,31.5,21.8,25.3,17.3,4.3,6.6
683,chat-gpt,30,word2vec,single,50.0,0.7,rebel\_hf,32.9,20.2,24.3,21.9,2.8,4.9
124,chat-gpt,30,word2vec,single,70.0,0.5,rebel\_ft,33.3,21.1,25.3,20.0,3.6,5.9
164,chat-gpt,30,word2vec,single,70.0,0.5,rebel\_hf,34.7,19.8,24.5,23.5,2.2,4.0
431,chat-gpt,30,word2vec,single,70.0,0.7,rebel\_hf,34.7,19.8,24.5,23.5,2.2,4.0
566,chat-gpt,30,word2vec,single,70.0,0.7,rebel\_ft,33.3,21.1,25.3,20.0,3.6,5.9
636,chat-gpt,50,page\_rank,all,15.0,0.5,rebel\_ft,24.2,26.5,24.7,12.2,8.1,9.2
758,chat-gpt,50,page\_rank,all,15.0,0.5,rebel\_hf,27.0,23.4,24.6,15.1,5.9,8.1
114,chat-gpt,50,page\_rank,all,15.0,0.7,rebel\_ft,24.2,26.5,24.7,12.0,8.0,9.1
538,chat-gpt,50,page\_rank,all,15.0,0.7,rebel\_hf,27.0,23.4,24.6,15.0,5.9,8.1
191,chat-gpt,50,page\_rank,all,30.0,0.5,rebel\_ft,30.2,26.3,27.7,17.2,6.1,8.5
402,chat-gpt,50,page\_rank,all,30.0,0.5,rebel\_hf,32.4,22.9,26.3,19.9,3.8,6.1
63,chat-gpt,50,page\_rank,all,30.0,0.7,rebel\_ft,30.2,26.3,27.7,17.1,6.1,8.5
354,chat-gpt,50,page\_rank,all,30.0,0.7,rebel\_hf,32.4,22.9,26.3,20.3,3.8,6.2
347,chat-gpt,50,page\_rank,all,50.0,0.5,rebel\_hf,35.4,21.6,26.2,24.9,2.8,4.8
655,chat-gpt,50,page\_rank,all,50.0,0.5,rebel\_ft,33.3,23.7,27.1,21.0,4.3,6.9
322,chat-gpt,50,page\_rank,all,50.0,0.7,rebel\_hf,35.4,21.6,26.2,25.0,2.7,4.8
689,chat-gpt,50,page\_rank,all,50.0,0.7,rebel\_ft,33.3,23.7,27.1,21.1,4.3,6.9
24,chat-gpt,50,page\_rank,all,70.0,0.5,rebel\_ft,34.8,22.4,26.9,23.0,3.4,5.8
418,chat-gpt,50,page\_rank,all,70.0,0.5,rebel\_hf,36.3,20.6,25.8,26.5,2.2,3.9
172,chat-gpt,50,page\_rank,all,70.0,0.7,rebel\_ft,34.8,22.4,26.9,23.1,3.4,5.7
565,chat-gpt,50,page\_rank,all,70.0,0.7,rebel\_hf,36.3,20.6,25.8,26.5,2.1,3.9
169,chat-gpt,50,page\_rank,single,15.0,0.5,rebel\_ft,21.4,22.9,21.5,8.9,6.8,6.9
544,chat-gpt,50,page\_rank,single,15.0,0.5,rebel\_hf,24.7,21.3,22.3,12.2,5.5,7.2
536,chat-gpt,50,page\_rank,single,15.0,0.7,rebel\_ft,21.4,22.9,21.5,8.9,6.8,6.9
711,chat-gpt,50,page\_rank,single,15.0,0.7,rebel\_hf,24.7,21.3,22.3,12.1,5.4,7.1
384,chat-gpt,50,page\_rank,single,30.0,0.5,rebel\_ft,27.5,22.2,24.2,15.3,5.9,7.9
691,chat-gpt,50,page\_rank,single,30.0,0.5,rebel\_hf,29.9,20.9,24.1,18.5,3.8,6.1
440,chat-gpt,50,page\_rank,single,30.0,0.7,rebel\_ft,27.5,22.2,24.2,15.3,5.9,7.9
628,chat-gpt,50,page\_rank,single,30.0,0.7,rebel\_hf,29.9,20.9,24.1,18.5,3.8,6.1
155,chat-gpt,50,page\_rank,single,50.0,0.5,rebel\_ft,32.8,22.4,26.1,19.9,4.4,6.9
643,chat-gpt,50,page\_rank,single,50.0,0.5,rebel\_hf,34.4,20.6,25.2,23.7,2.8,4.9
183,chat-gpt,50,page\_rank,single,50.0,0.7,rebel\_ft,32.8,22.4,26.1,19.9,4.4,6.9
190,chat-gpt,50,page\_rank,single,50.0,0.7,rebel\_hf,34.4,20.6,25.2,23.6,2.8,4.8
103,chat-gpt,50,page\_rank,single,70.0,0.5,rebel\_hf,35.6,19.9,24.9,25.1,2.2,4.0
547,chat-gpt,50,page\_rank,single,70.0,0.5,rebel\_ft,34.4,21.5,26.1,21.8,3.5,5.8
459,chat-gpt,50,page\_rank,single,70.0,0.7,rebel\_hf,35.6,19.9,24.9,24.9,2.2,4.0
462,chat-gpt,50,page\_rank,single,70.0,0.7,rebel\_ft,34.4,21.5,26.1,21.6,3.5,5.8
204,chat-gpt,50,tfidf,all,15.0,0.5,rebel\_ft,23.4,22.9,21.9,10.5,7.7,7.7
583,chat-gpt,50,tfidf,all,15.0,0.5,rebel\_hf,27.4,21.2,23.2,15.2,5.2,7.3
45,chat-gpt,50,tfidf,all,15.0,0.7,rebel\_hf,27.4,21.2,23.2,15.1,5.1,7.2
468,chat-gpt,50,tfidf,all,15.0,0.7,rebel\_ft,23.4,22.9,21.9,10.7,7.8,7.8
44,chat-gpt,50,tfidf,all,30.0,0.5,rebel\_hf,32.5,21.2,24.9,21.3,3.7,6.0
509,chat-gpt,50,tfidf,all,30.0,0.5,rebel\_ft,29.3,23.0,25.1,16.6,6.0,8.1
61,chat-gpt,50,tfidf,all,30.0,0.7,rebel\_hf,32.5,21.2,24.9,21.4,3.7,6.1
233,chat-gpt,50,tfidf,all,30.0,0.7,rebel\_ft,29.3,23.0,25.1,16.0,5.9,7.9
165,chat-gpt,50,tfidf,all,50.0,0.5,rebel\_hf,34.5,20.6,25.0,24.0,2.6,4.5
676,chat-gpt,50,tfidf,all,50.0,0.5,rebel\_ft,32.0,22.2,25.7,20.4,4.5,7.0
277,chat-gpt,50,tfidf,all,50.0,0.7,rebel\_ft,32.0,22.2,25.7,19.9,4.3,6.7
548,chat-gpt,50,tfidf,all,50.0,0.7,rebel\_hf,34.5,20.6,25.0,23.9,2.5,4.5
